,State,City,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pulminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index,Poverty Rate 2009-2013,Economic Rank
0,NM,Albuquerque,3502000,545852,5.8,10.4,5.6,5.5,12.6,12.9,35.10550258,-106.6474477,35.12903763,-106.629162,10.68446422,11.74142146,685933.7471,4360883.874,3720008.117,3800903.991,3259877.555,8.652916,8.211202,6.974018,6.863455,10.98079967,0.179,125
1,AK,Anchorage,203000,291826,5.1,9.3,4.5,5,11.4,10.6,61.14986873,-149.1111134,61.19923392,-149.8314747,2.076172382,2.990822196,123089.786,377977.8228,334426.3583,382393.3222,349161.7627,5.862218,5.384438,4.634226,8.12634,9.129659653,0.079,197
2,GA,Atlanta,1304000,420003,4.8,9,5,5.7,12.2,11.1,33.76265247,-84.42314191,33.84096954,-84.30090571,17.14769793,17.22755289,1516952.499,12726624.75,12290679.71,14599934.15,12508803.31,19.79446,13.3116,10.70848,10.28025,18.74349976,0.25,17
3,TX,Austin,4805000,790390,4.3,8.3,3.9,4,11.4,9.4,30.30686103,-97.75547712,30.37163753,-97.73513149,20.25407124,20.95482636,1063620.667,4417962.777,4107195.344,5003949.553,4174130.503,15.14392,10.114128,8.038374,8.593885,15.35470009,0.191,3
4,CA,Bakersfield,603526,347483,5,9.5,5.4,6.1,14,13.1,35.35133029,-119.029786,35.36381044,-119.0475354,17.97289371,19.10495472,533318.4537,3324191.095,3342471.181,3438174.395,2668842.282,16.6687,14.38446,12.76312,15.1119,4.478769779,0.204,162
5,MD,Baltimore,2404000,620961,5.5,12.3,6.4,7.2,13.9,12.3,39.3084524,-76.61604923,39.31155264,-76.61148208,13.35398746,13.17422318,1360858.298,15272624.37,13155469.29,11592406.32,9739341.257,19.01532,15.00314,11.72638,11.43635,6.844810009,0.238,109
6,LA,Baton Rouge,2205000,229493,5.2,9.4,6.4,6.8,14,12.8,30.45108917,-91.1263552,30.43326952,-91.10127215,20.25940323,20.75579023,270758.8464,7692179.905,11039201.13,10239254.39,5451820.644,18.20844,13.25904,10.246752,10.63165,23.91959953,0.254,145
7,AL,Birmingham,107000,212237,5.6,10.5,7.5,8.8,15.2,16.3,33.52756638,-86.79881747,33.50902518,-86.82365065,17.06690979,17.49764442,196387.767,2202561.192,1989846.723,1714411.25,1858031.765,19.38254,13.8868,10.625714,10.3269,20.21800041,0,165
8,MA,Boston,2507000,617594,4.5,11.4,4.6,5.1,13.9,10.5,42.31557968,-71.09165058,42.38499617,-71.06303941,10.30256605,10.7555151,2063274.183,24637639.3,22116676.64,23176358.33,21858037.97,12.76518,10.7339,8.771842,9.085375,4.048449993,0.214,48
9,NY,Buffalo,3611000,261310,5.8,12.7,7.1,8.5,15.5,15.8,42.90145182,-78.84752373,42.9237412,-78.81130882,8.794063807,9.090383291,615835.9218,9772111.324,9625372.489,9312949.12,5282788.675,14.9821,12.28924,9.591696,10.30295,10.84090042,0.307,143
10,NC,Charlotte,3712000,731424,5,8.6,4.8,5.2,11.9,10.3,35.2078722,-80.83007546,35.19478888,-80.8479022,16.35830283,16.56829786,370497.0553,4222924.545,5095555.587,6037405.883,4228945.445,19.05508,13.12654,10.58084,9.521135,5.680620193,0.171,13
11,IL,Chicago,1714000,2695598,5,9.9,5.3,5.8,12.2,12.4,41.83729506,-87.68623087,41.79396274,-87.82253727,10.22556663,10.44071722,6779775.294,93164678.42,82876182.34,82311959.48,65460184.72,18.36028,13.42546,11.93376,12.54255,5.792150021,0.226,132
12,OH,Cincinnati,3915000,296943,5.5,10.9,6.4,7.9,15,13.7,39.14117471,-84.50600045,39.2369108,-84.46200196,12.19838429,12.43175149,764046.6174,8606238.899,6774873.093,6306984.372,5309938.138,18.77534,14.68338,12.3019,12.8798,10.49839973,0.304,131
13,OH,Cleveland,3916000,396815,5.7,11.8,8.4,10.5,16.5,17.5,41.47653458,-81.68054949,41.47505094,-81.64622338,10.21175623,10.2801578,1188874.549,17115431.48,16285626.96,15637508.08,12382651.71,19.54878,15.95676,12.60308,12.686,11.08679962,0.354,167
14,CO,Colorado Springs,816000,416427,6.1,9.5,5,5,11.6,11.2,38.86727481,-104.7606645,38.86368844,-104.7760317,9.605670691,10.36757088,396290.1245,2994216.926,3243011.994,3837953.618,2082876.774,10.177216,8.937694,7.857632,7.739915,15.91709995,0.137,58
15,OH,Columbus,3918000,787033,5.1,10.1,5.3,6.8,14.6,12,39.98595005,-82.98517385,40.0147868,-82.99973942,10.57155752,10.69221854,1138151.475,10302875.09,8884251.532,8780882.242,7403380.315,18.55958,15.61564,12.61064,13.06525,9.595950127,0.224,99
16,TX,Corpus Christi,4817000,305215,5.4,8.6,6.5,6,12.2,14.1,27.72915883,-97.40190954,27.74286947,-97.40416723,22.38120365,22.89654064,225223.0592,1258590.356,1203833.367,1215517.998,980750.4275,13.320098,8.644316,6.791826,7.35278,14.9744997,0.182,188
17,TX,Dallas,4819000,1197816,4.8,9.4,5.6,5.8,13.2,12.8,32.79398041,-96.76569295,32.8573485,-96.96526227,18.48534775,19.27159834,5165561.23,39174644.28,35224550.66,40179364.14,33572785.14,15.81682,11.4509,9.357422,10.3632,11.64579964,0.238,5
18,CO,Denver,820000,600158,5.3,8.8,4.3,4.2,11.4,10.3,39.76202837,-104.8763653,39.72837393,-104.9803877,9.310184956,9.789418697,2229499.864,19655770.26,18002360.87,20523139.84,17372973.02,10.3554,9.475478,8.72413,8.753875,13.40799999,0.191,24
19,MI,Detroit,2622000,713777,5.8,14,8.5,11.3,18,19.3,42.38470156,-83.10531788,42.43812719,-83.15206612,9.990496159,10.01090527,3288131.603,59077336.49,47463848.27,45154481.84,36342871.16,18.2572,14.09286,11.81886,12.3398,8.886159897,0.393,121
20,NC,Durham,3719000,228330,4.8,8.8,4.8,5.3,12.7,10.8,35.98091474,-78.90591611,35.99882543,-78.90339529,15.82902646,16.0485177,60840.37531,133445.8045,117909.17,139065.7182,128493.9645,17.48002,13.24502,10.435724,9.24631,6.735589981,0.2,77
21,IN,Fort Wayne,1825000,253691,6.2,10.9,6.9,7.5,13.4,13.5,41.08849204,-85.14358988,41.09405071,-85.10826022,10.55536675,10.43110633,202795.9841,1473624.313,1258166.455,1195641.324,1050401.178,18.26434,15.29854,12.46194,12.78835,7.020820141,0.187,118
22,CA,Fresno,627000,494665,4.9,9.8,5.8,6.6,14.6,14.3,36.78267867,-119.7941266,36.78757662,-119.7705095,17.81812143,18.90532923,652855.9733,4418893.677,3809006.317,4070041.367,3432841.139,21.9559,16.47764,15.1556,19.44245,10.47669983,0.289,37
23,NC,Greensboro,3728000,269666,5.5,9.1,5.6,6.1,13.2,11.4,36.09604804,-79.82768331,36.06996335,-79.84098304,15.12003613,15.31133246,167975.0284,1003576.235,895492.1936,996985.4314,911469.0919,17.64756,12.88912,10.001884,8.689865,8.541000366,0.203,156
24,HI,Honolulu,15003,953207,5.5,9.5,5,4.1,9.6,9.4,21.45880393,-157.9732967,21.34067769,-157.8934967,23.4560318,23.5266223,512853.6667,5247006.262,3487001.783,2901707.103,2018231.877,7.237346,6.15893,5.563796,5.765125,0,0.121,141
25,TX,Houston,4835000,2099451,4.8,8.8,5.6,5.6,13,12.9,29.78066914,-95.3860034,29.78137075,-95.40836967,20.69648314,21.19856071,4873719.74,45957923.42,52311698.57,55374870.29,40878929.78,17.06226,11.71976,8.876372,9.49125,51.10409927,0.229,119
26,IN,Indianapolis,1836003,820445,5.7,10.9,6.4,7.4,14.1,13.1,39.77712211,-86.14578215,39.80875482,-86.14531263,11.99781275,12.03193426,1086019.564,10638520.49,10325852.52,11060378.1,9747960.217,18.70204,14.45,12.17674,12.7333,5.990009785,0.209,63
27,FL,Jacksonville,1235000,821784,5.9,8.3,6.3,7.6,13.8,13.4,30.33198201,-81.67522662,30.30682272,-81.64771776,20.93350887,21.30102015,399012.6391,3054454.717,2636567.155,2554092.518,2287545.494,17.177,11.95464,9.509432,8.93149,13.30799961,0.179,122
28,MO,Kansas City,2938000,459787,5.7,10.3,6,7.3,14,13.8,39.1239414,-94.55412368,39.04474577,-94.60456837,13.13243341,13.43281627,1129297.081,10969156.01,10662255.98,11091909.98,9759863.326,13.9525,10.539414,9.119964,10.04349,28.08580017,0.191,97
29,NV,Las Vegas,3240000,583756,5.8,8.7,6.7,7.3,14.7,14.4,36.22741484,-115.2626701,36.14443328,-115.1590734,17.36658621,18.81853867,2029109.785,8782883.734,8016613.482,12514573.87,10063187.87,7.81864,8.36398,7.028858,8.060525,9.283410072,0.171,23
30,KY,Lexington,2146027,295803,5.6,11.3,6.3,7.8,13.3,13,38.0423254,-84.45872596,38.02135026,-84.49377673,13.09833097,13.32968616,274818.889,1134917.266,991452.1068,1077477.014,971318.0472,16.42368,12.15664,9.753852,9.367155,33.91889954,0.189,112
31,NE,Lincoln,3128000,258379,5.7,8.3,4.7,4.8,10.7,8.7,40.80961957,-96.6806742,40.80322535,-96.67218054,11.03453803,11.40356755,237604.9881,1158576.481,1001557.023,1097872.126,978177.5938,13.19232,10.423658,9.464926,10.4534,11.73649979,0.165,126
32,CA,Los Angeles,644000,3792621,4.9,8.5,4.9,5.3,12.9,12.8,34.11822779,-118.4085001,33.95381355,-117.9539253,16.86275053,17.60802174,14281719.8,161849832.2,142413298.3,140145811.4,112698520.4,19.35878,16.507,14.6612,16.4171,4.282859802,0.22,81
33,KY,Louisville,2148006,597337,6.7,12.3,8.1,9.4,14.3,14.3,38.17776899,-85.66641,38.22451115,-85.69906478,13.91126442,14.05084062,750695.1643,9797368.711,11016360.46,12092911.14,7806175.499,18.41504,14.07794,11.65024,11.37785,25.57579994,0.184,91
34,TX,Lubbock,4845000,229573,5.2,9.2,5.5,5.7,13.1,11.8,33.56662512,-101.8863357,33.55313129,-101.8956147,15.66523099,16.68215704,206987.615,1200277.528,1042329.295,1046342.412,954943.4986,7.981408,6.478616,5.471234,5.813725,9.009750366,0.218,86
35,WI,Madison,5548000,233209,5.1,8.8,4.2,4.2,11.7,9,43.08098657,-89.39151063,43.07246513,-89.40886372,7.845272779,7.996521831,274981.5456,1673457.382,1517795.406,1525193.795,1330009.592,15.0561,11.34501,9.935864,10.64205,5.356130123,0.194,72
36,TN,Memphis,4748000,646889,5.2,11.7,6.7,8.9,15.9,16.5,35.1046295,-89.97890609,35.08824019,-89.90631547,16.53145075,16.69794965,468149.0271,6154383.486,6591855.478,6911020.252,5546712.835,17.18102,12.33282,10.362976,10.97785,17.65940094,0.269,145
37,FL,Miami,1245000,399457,5.3,7.4,7.6,7.1,13.1,15.5,25.7822959,-80.22156478,26.17958738,-80.2108039,24.69581079,25.10877228,5406570.288,48030898.04,38694484.36,42325304.19,36734236.44,11.560144,8.569354,6.611058,6.806995,12.73760033,0.299,74
38,WI,Milwaukee,5553000,594833,5,11,5.8,6.6,15.4,14,43.06412589,-87.96724124,43.03168731,-88.0110039,8.264240861,8.331288576,1101829.808,12783282.34,11042007.97,10216023.86,8473098.724,15.96854,11.73584,10.592492,11.08545,5.326300144,0.291,157
39,MN,Minneapolis,2743000,382578,4.6,8.5,4,3.9,10.9,8.8,44.9635408,-93.26783453,44.99994671,-93.2301204,7.756552696,8.145532727,1733144.752,22368119.06,19309590.57,21111763.96,14874307.36,13.5509,11.309916,9.459566,10.163495,6.776239872,0.225,79
40,AL,Montgomery,151000,205764,5.9,10.4,6.8,8.2,14.5,14.5,32.34726453,-86.26770596,32.36013413,-86.24918667,18.7232604,18.80465984,143898.0402,1169437.696,992769.4697,965123.3069,870672.1456,19.5089,14.81048,11.40764,11.3375,14.78829956,0,116
41,TN,Nashville,4752006,601222,5.4,10.4,5.6,7.1,13.8,13.1,36.17122299,-86.78459448,36.12835685,-86.75899469,15.27210641,15.61721778,273128.9597,2208230.309,2005178.502,1934184.519,1707512.693,19.15442,13.77094,11.20538,10.738,26.82329941,0.189,25
42,LA,New Orleans,2255000,343829,5.2,9.4,6.2,6.8,13.3,12.7,30.06870099,-89.93163179,29.96009972,-90.10226475,20.68001986,21.23933458,680993.5612,13545187.91,9712104.045,8580962.956,6276583.718,14.03922,10.062586,8.08972,8.0354,11.24289989,0.273,189
43,NY,New York,3651000,8175133,5.3,10.5,5.6,5.9,12.3,12.2,40.69496069,-73.93138504,40.77321423,-73.88090455,12.63459301,13.03097224,15950674.29,191163993.2,164254990,162885973.3,141148793.4,16.08942,12.9189,10.247822,10.5604,7.389339924,0.203,94
44,OK,Oklahoma City,4055000,579999,5.7,10.2,6.6,7.2,14.5,14,35.46756429,-97.51376155,35.46309323,-97.52442303,16.23154378,17.07453918,616999.469,5303261.104,4365068.168,4339812.395,3991250.397,12.92282,10.365186,8.787696,9.286485,14.36050034,0.182,147
45,NE,Omaha,3137000,408958,5.8,8.6,5.7,6,11.1,10.8,41.26423091,-96.04150764,41.2406688,-96.0581449,10.44024467,10.77462792,565017.682,4293888.839,3744450.808,3868226.031,3324125.378,13.3943,11.12908,9.764936,11.4918,18.27729988,0.166,134
46,FL,Orlando,1253000,238300,4.8,8.2,5.3,6.3,13.4,12.8,28.48006468,-81.34524112,28.53910259,-81.37360347,22.5880785,23.00020027,1290483.024,8711035.193,7736316.068,9202664.842,8118465.919,16.67408,11.349942,9.01435,8.705165,16.41869926,0.192,7
47,PA,Philadelphia,4260000,1526006,5.4,11.6,6.3,7,15.3,14.6,40.00931478,-75.13338886,39.90704662,-75.23605793,13.07065392,13.26634693,3132223.299,44012215.22,40162477.49,38149363.28,30995621.77,18.2515,14.50728,11.3829,10.9822,6.301380157,0.265,107
48,AZ,Phoenix,455000,1445632,5.2,10.3,5.5,6.1,13.9,13.6,33.57241387,-112.0889952,33.47756006,-112.0005369,21.43992901,22.37896347,3611577.485,24505816.58,21429666.54,27011328.04,24849721.91,14.4523,12.51454,11.38296,12.28,8.300450325,0.228,20
49,PA,Pittsburgh,4261000,305704,5.8,10.7,5.9,6.5,13.5,12,40.43962975,-79.9762615,40.41596736,-79.97203034,11.16158843,11.11226916,709250.094,9736551.044,8211127.07,6869877.207,5732349.779,17.80098,14.4914,11.36102,11.7346,10.23480034,0.226,150
50,OR,Portland,4159000,583776,5.8,9.5,4.9,5.1,12.1,10.1,45.53718065,-122.6500328,45.53094903,-122.6657332,10.99738264,11.73069286,1655686.139,12274354.2,10810192.86,12758363.19,11388977.34,7.84354,6.842972,6.734528,6.860845,5.615839958,0.178,105
51,NC,Raleigh,3755000,403892,4.8,8.5,4.2,4.6,12.2,9.2,35.83220809,-78.64402438,35.8341106,-78.64480454,15.82902646,16.0485177,278581.7325,1237923.93,1105134.462,1240866.624,1122573.887,17.97354,13.2217,10.308074,9.139125,7.074779987,0.162,6
52,NV,Reno,3260600,225221,5.8,8.9,6,6.3,14.8,13.6,39.5540172,-119.8527335,39.51338106,-119.791722,8.98013854,10.060992,235606.7919,983377.6924,882136.1942,1107778.765,1007454.623,9.065072,8.936134,8.681892,9.036385,7.75440979,0.186,11
53,NY,Rochester,3663000,210565,5.2,12.6,6.2,8.1,16.4,15.5,43.16798029,-77.61623489,44.03841773,-92.48765596,7.495914459,7.825223923,75427.49224,228034.5896,200162.9781,212845.2669,194537.586,15.15312,12.1826,10.02342,10.87145,6.625450134,0,158
54,CA,Sacramento,664000,466488,5.2,9.9,5.4,5.9,13.2,12.7,38.56663216,-121.4682998,38.60280713,-121.3875759,15.8921752,17.10165453,1528104.298,10809208.45,9355332.03,10255598.06,9163732.279,14.34608,11.28912,10.927966,12.9805,6.958010197,0.219,64
55,TX,San Antonio,4865000,1327407,4.9,8.4,5.9,5.4,12.5,14.1,29.47214753,-98.52467635,29.49173859,-98.5206364,21.39313078,22.21615744,1483926.84,11637407.57,10420016.65,11244108.07,9729035.184,14.86002,9.888844,7.945454,8.466455,10.72340012,0.199,32
56,CA,San Diego,666000,1307402,5,8,4.4,4.3,11.6,9.8,32.83556394,-117.1197921,32.82158244,-117.1106947,17.49774694,18.3498106,4437234.748,24338564.34,20151235.7,20469459.61,19049698.49,18.30812,14.95202,13.4959,14.41595,2.917210102,0,45
57,CA,San Francisco,667000,805235,5.2,7.8,4.5,4,9.9,8.9,37.75591366,-122.4409879,37.32711544,-121.9332989,14.36730981,15.53486609,4604961.31,43064128.06,38370576.09,37860900.25,30408585.7,13.9966,11.37164,11.25792,11.9947,3.800590038,0.135,4
58,WA,Seattle,5363000,608660,5.5,8.9,4.2,4,10,8.6,47.62215434,-122.3235325,47.49542197,-122.2998149,11.55879116,12.36023092,2678205.033,21770599.29,18774200.96,20169171.72,17160056.09,7.832544,6.758008,6.56972,7.273785,6.580860138,0.136,8
59,WA,Spokane,5367000,208916,6.7,11,6.4,7.6,13.9,13.5,47.67362433,-117.4159733,47.6722562,-117.3512222,8.457903862,9.256306648,265825.0586,1323924.227,1142726.399,1225370.674,1098821.128,9.782868,9.572372,8.367268,10.80395,4.907350063,0,103
60,MO,St. Louis,2965000,319294,5.5,11.4,6.4,7.8,15.5,15.4,38.63581226,-90.24511868,38.64866335,-90.29516847,14.04787922,14.31618166,1100883.938,14164697.03,12318261.59,10811407.33,9100807.897,17.64392,12.1899,10.355296,11.6142,27.7961998,0.274,130
61,CA,Stockton,675000,291707,4.9,9.5,6.1,6.5,14.4,14.4,37.97663227,-121.3111217,37.97378272,-121.2952444,15.7457211,17.04826498,365617.9699,1726878.948,1598270.634,1726653.584,1325509.404,14.99624,11.57092,11.131124,13.20855,9.537779808,0.243,34
62,FL,Tampa,1271000,335709,5.6,8.4,6.1,6.9,13.9,13.8,27.99619804,-82.44503498,27.80797724,-82.70346723,23.04238939,23.50172043,1996766.554,16848633.43,14539981.79,16566940.1,19675910.54,18.09332,12.25302,9.243166,9.400435,9.286230087,0,30
63,OH,Toledo,3977000,287208,6,11.1,7.8,9.4,15.9,15.2,41.66373996,-83.58238184,41.67408047,-83.548263,10.1761651,10.04414821,248621.181,4988152.632,4589115.94,4363075.354,3262067.092,20.2326,15.94882,13.46556,14.33245,8.97317028,0.272,179
64,AZ,Tucson,477000,520116,5.7,10.8,6.2,6.7,14.1,14.4,32.15672445,-110.8770855,32.24353876,-110.9313916,18.68526888,19.76563072,588176.3438,4462234.108,3628524.369,3729495.462,3108350.987,11.79462,11.189,10.239044,10.43015,8.454350471,0.252,102
65,OK,Tulsa,4075000,391906,6.3,10.3,6.7,7.4,14.3,14.4,36.12842134,-95.90361955,36.09653097,-95.90641721,16.02897048,16.68291688,442252.6908,4203831.407,3743532.117,4017962.182,3550282.69,14.9261,11.94778,10.120392,10.4364,12.24040031,0.201,138
66,VA,Virginia Beach,5182000,437994,5.7,8.5,4.8,5.1,11.4,10.1,36.75345933,-76.05895795,36.84947257,-76.22371144,15.90943766,16.09788299,832250.0823,8359050.328,8276028.375,8458426.118,6721574.172,17.55418,13.06454,9.964072,9.49669,8.035260201,0.079,173
67,DC,Washington,1150000,601723,4.8,10.1,4.3,5.1,11,9,38.90992414,-77.01472057,38.9228404,-77.14196317,14.64114547,14.69545531,3368613.481,32212600.58,28657231.96,28739967.12,22866016.01,17.88728,14.33282,10.86924,10.74729,5.990019798,0.186,100
68,KS,Wichita,2079000,382368,6.2,9.7,6.5,6.6,12.2,11.8,37.69056148,-97.34293668,37.68333134,-97.30966899,14.24783826,14.66271544,272839.4884,2669113.143,2318216.829,2116498.797,1908429.439,12.96764,10.425016,8.977016,9.254625,11.04090023,0.176,181
69,NC,Winston-Salem,3775000,229617,6,9.2,6.5,7,14.1,12.9,36.1029453,-80.26098892,36.09411387,-80.26062166,14.85567594,15.03161263,88908.1026,418196.2065,372092.0622,400790.1839,372802.3008,17.48134,13.01916,10.08695,8.947015,9.893300056,0.232,160
